year,case,title,documenturl,courtline,fileddate,citation,parallelcite,docketnum,summary,searchsnippet1,searchsnippet2,searchsnippet3,searchsnippet4
2009,,"Planet Coffee Roasters, Inc. v. Dam",https://www.westlaw.com/Document/I06239a098a6511de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=556&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, C.D. California, Southern Division.",12-Aug-09,Not Reported in F.Supp.2d,2009 WL 2486457,SACV 09-00571-MLG,TRADEMARKS - Advertising. Trademark holder's allegations were sufficient to plead false designation of origin since alleged infringer's prior use defense was a factual issue.,"...marksthose marks with such powerful consumer associations that even non- competing uses can impinge on their value. Avery, 89 F.3d...",,,
2009,,"Teleplus Consulting, Inc. v. JLS Marketing, LLC",https://www.westlaw.com/Document/I26cb3a478b2411de8bf6cd8525c41437/View/FullText.html?listSource=Search&list=CASE&rank=332&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Arizona.",12-Aug-09,Not Reported in F.Supp.2d,2009 WL 2486000,CV-09-0472-PHX-FJM,COMMERCIAL LAW - Contracts. Breach of contract claims were not barred by collateral estoppel when the state court merely addressed whether there were sufficient minimum contacts to support jurisdiction.,"...for its telecommunications consulting work, in violation of the Agreement's non- compete clause. Id. ¶ 35. On June 24, 2008, Teleplus filed...","...IV), fraud (Count V), reckless misrepresentation (Count VI), breach of non- compete agreement (Count VII), misappropriation of business (Count VIII), violation of...","...Count I (breach of contract) and Count VII (breach of non- compete agreement), arguing that these breach of contract claims have already...",
2010,,"Play N Trade Franchise, Inc. v. Romero",https://www.westlaw.com/Document/I112e95a03d4a11e89d46ed79fb792237/View/FullText.html?listSource=Search&list=CASE&rank=209&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, C.D. California.",12-Aug-10,Slip Copy,2010 WL 11601181,2:10–CV–03574–JHN–MLGX,"The matter before the Court is Defendants Motion to Dismiss, or in the Alternative, Transfer Venue (Motion) (Docket No. 8), filed on June 17, 2010. The Court has considered the briefs filed in this matter and deems the matter appropriate for decision without oral argument. See Fed. R. Civ. P. 78(b); Local Rule 715....","...Agreement, and (iii) the scope, duration and enforceability of any non- competition covenant under this Agreement. Otherwise, California law governs this Agreement and...",,,
2010,,Bak v. Home Video Franchising Corp.,https://www.westlaw.com/Document/I89fbe67da92711df8228ac372eb82649/View/FullText.html?listSource=Search&list=CASE&rank=426&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Indiana, Indianapolis Division.",12-Aug-10,Not Reported in F.Supp.2d,2010 WL 3211041,1:09-CV-1196-RLY-DML,"Defendants, Home Video Franchising Corporation d/b/a Home Video Studios (HVF), Home Video Studio, Inc. (HVS) (collectively Home Video), Robert Hanley, and Denise Hanley (collectively Defendants), move to disqualify the counsel of plaintiff, Joseph Bak (Plaintiff), pursuant to Indiana Rule of Professional Conduct 1.9. The court, having...","...representation included matters relating to non-disclosure agreements, vendor agreements, non- competition agreements, and trademark issues. (Millard Decl. ¶ 10). The LCM...",,,
2009,,"Conergy AG v. MEMC Electronic Materials, Inc.",https://www.westlaw.com/Document/I88e4c727897f11deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CASE&rank=374&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. New York.",13-Aug-09,651 F.Supp.2d 51,2009 WL 2482138,09 CIV. 4906(SAS),"ANTITRUST - Monopolies. Solar power system designer's Sherman Act claims against part manufacturers were plausible, thus surviving motion to dismiss.","...See id. ¶32. The Agreement also includes a non- compete provision, under which Conergy agrees not to compete with MEMC...","...MEMC Singapore's businesses. 23 Although the Agreement includes a reciprocal non- compete provision that restricts defendants' right to compete with Conergy, Conergy...",...se violation cannot be found on the basis of the non- compete provision in the Agreement that allegedly favors Conergy. See id...,...would have entered the wafer market if not for the non compete clause in the Agreement. 71 See Compl. ¶¶13...
2010,,In re DHP Holdings II Corp.,https://www.westlaw.com/Document/I0647ca68a9e411df952a80d2993fba83/View/FullText.html?listSource=Search&list=CASE&rank=703&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, D. Delaware.",13-Aug-10,435 B.R. 220,2010 WL 3218385,"08-13422 MFW, ADV. 09-52811 MFW",BANKRUPTCY - Jurisdiction. Bankruptcy court would permissively abstain from debtor's proceeding to recover sums due on unpaid invoices.,"...Healthcare Group, 267 B.R. at 679 While California law on non- compete clauses is not unsettled, we conclude that the California state...",,,
2007,,"Feesers, Inc. v. Michael Foods, Inc.",https://www.westlaw.com/Document/Ic3e8ceee4a9111dcb979ebb8243d536d/View/FullText.html?listSource=Search&list=CASE&rank=374&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Third Circuit.",14-Aug-07,498 F.3d 206,2007 WL 2302286,06-2661,ANTITRUST - Pricing. Food products seller and buyer were not entitled to summary judgment in price discrimination case under Robinson-Patman Act.,"...it too broadly, so as to render price discrimination between non- competitors a violation of the Act.  We reject this characterization of...",...beyond even the protection of competitors to the protection of non- competitors. The requirement that a claimant show actual competition limits the...,,
2009,,"RealNetworks, Inc. v. QSA ToolWorks, LLC",https://www.westlaw.com/Document/I31dd38a08c9911dea82ab9f4ee295c21/View/FullText.html?listSource=Search&list=CASE&rank=626&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Washington, at Seattle.",14-Aug-09,Not Reported in F.Supp.2d,2009 WL 2512407,C07-1959MJP,"The above-entitled Court, having received and reviewed 1. Defendant QSA ToolWorks LLC's Motion for Partial Summary Judgment (Dkt. No. 64) 2. Plaintiff RealNetworks, Inc.'s Opposition to Defendant QSA ToolWorks LLC's Motion for Partial Summary Judgment (Dkt. No. 79) 3. Plaintiff RealNetworks, Inc.'s Motion for Summary Judgment (Dkt. No. 71) 4....","...though no such association exists Although these product lines are non- competing, they are extremely close in use and function. 599 F...",,,
2009,,"Magicon, LLC v. Weatherford Intern., Inc.",https://www.westlaw.com/Document/I737d074c70da11e0b63e897ab6fa6920/View/FullText.html?listSource=Search&list=CASE&rank=752&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Texas, Houston Division.",14-Aug-09,Not Reported in F.Supp.2d,2009 WL 7868862,"4:08-CV-03639, 4:08-CV-03636","Pending before the Court are the CrossMotions for Partial Summary Judgment of Defendant Weatherford International, Inc. d/b/a Weatherford International, Ltd (Weatherford) (Doc. No. 32) and MagiCon LLC (MagiCon) (Doc. No. 38) regarding the ownership of copyrights to several software applications. For the following reasons, both Motions must be...","...Agreement, Advantage gave Donaho a license for software developed for non- competitive applications outside the oil industry. Id. He does not attach...",,,
2009,,Allbaugh v. Perma-Bound,https://www.westlaw.com/Document/I0149f3605c6711e7bb97edaf3db64019/View/FullText.html?listSource=Search&list=CASE&rank=815&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Washington, at Seattle.",14-Aug-09,Slip Copy,2009 WL 10676437,C08-5713-JCC,"This matter comes before the Court on Defendant Perma-Bound's Motion to Compel Arbitration (Dkt. No. 17), Plaintiff Mary Jane Allbaugh's Response in opposition (Dkt. No. 22), Defendant's Reply (Dkt. No. 29), and Plaintiff's Surreply (Dkt. No. 37). The Court has carefully considered these papers and their supporting declarations and exhibits, as...","...New Jersey, home of the corporate defendant, in determining whether noncompete restrictions in an agreement were enforceable where Plaintiff was a...",,,
2005,,"Prime Vest Financial Services, Inc. v. Ruxer",https://www.westlaw.com/Document/I7f2afbc10e8a11dab072a248d584787d/View/FullText.html?listSource=Search&list=CASE&rank=118&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Minnesota.",15-Aug-05,Not Reported in F.Supp.2d,2005 WL 1959505,CIV 05-1312PAMRLE,"This matter is before the Court on Plaintiff's request for permission to file a Motion that the Court reconsider its Order of July 6, 2005. In particular, Plaintiff claims that it has obtained additional evidence that render Defendants' previous assertions false and therefore the Dual Employment and Non-competition Agreement...",...Defendants' previous assertions false and therefore the Dual Employment and Non- competition Agreement (Agreement) is valid. The Court denied Plaintiff's motion for...,"...of material fact remains on whether the Agreement is valid. Non- competition agreements signed before the inception of employment do not require independent consideration to be valid and enforceable, whereas non- competition agreements signed after employment begins are generally unenforceable unless they...",,
2007,,Alexander v. Tomlinson,https://www.westlaw.com/Document/Iee39b9e44cbe11dcbd4c839f532b53c5/View/FullText.html?listSource=Search&list=CASE&rank=533&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, District of Columbia.",15-Aug-07,507 F.Supp.2d 2,2007 WL 2331976,CIV.A. 05-0767 (ESH),"LABOR AND EMPLOYMENT - Discrimination. Decision to remove older, African-American federal employee who had filed discrimination complaints was not retaliatory.","...similarly situated to any of the three who were placed noncompetitively. Age Discrimination in Employment Act of 1967, §15, 29...","...Seifert, and Dave London were placed in positions in Washington non- competitively id. ¶¶1213, 17) (describing reassign[ments] for Seifert...",,
2007,,"In re Dura Automotive Systems, Inc.",https://www.westlaw.com/Document/I68b3e873147b11e2b343c837631e1747/View/FullText.html?listSource=Search&list=CASE&rank=392&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, D. Delaware.",15-Aug-07,Not Reported in B.R.,2007 WL 7728109,06-11202 KJC,"This matter is before the Court on the motion (the Sale Motion ) [Docket No. 1391], dated July 4, 2007, the Debtors, for entry of an order, pursuant to 11 U.S.C. §§ 105(a), 363, and 365 (the Bankruptcy Code ), and Rules 2002, 6004, 6006, 9007 and 9014 of the Federal Rules of Bankruptcy Procedure (the...",...Confidentiality 39 8.7 Non-solicitation 40 8.8 Seller Non- compete 40 8.9 Purchaser Non- compete 41 8.10 Exclusivity 41 8.11 Preservation of Records...,"...executed by the Sellers; (l) a confidentiality, non-solicitation and non- compete agreement incorporating the terms set forth in Sections 8.6...","...in interest prior to the date hereof. 8.8 Seller Non- compete. In exchange for Purchaser's agreements herein, including Purchaser's acquisition of...","...a violation of this Section 8.8. 8.9 Purchaser Non- compete. In exchange for the Seller's agreements herein, including Purchaser's acquisition..."
2008,,Burton v. General Motors Corp.,https://www.westlaw.com/Document/Ifb821ffa6ee811dd9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=727&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Indiana, Indianapolis Division.",15-Aug-08,Not Reported in F.Supp.2d,2008 WL 3853329,1:95CV1054DFH-TAB,"Plaintiffs were employed at the Allison Engine division of General Motors. All worked in hourly, union-protected positions and were recruited by General Motors to take jobs as first-line supervisors. Plaintiffs have proved that General Motors promised them that if they gave up their hourly unionized positions, they could return to the hourly work...",...to hourly/salary transfers as a means of minimizing certain non- competitive outcomes. Ex. 14 at 2. The proposed rule would give...,,,
2005,,"Qantum Communications Corp. v. Star Broadcasting, Inc.",https://www.westlaw.com/Document/Ia7873432110711daaea49302b5f61a35/View/FullText.html?listSource=Search&list=CASE&rank=230&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Florida., Miami Division.",16-Aug-05,382 F.Supp.2d 1362,2005 WL 2001185,05-21772CIV,COMMERCIAL LAW - Sales. Sale of radio station to competitor would result irreparable harm to prospective buyers.,...of Relief 212IV(L) Trade or Business 212 1383 k. Non- competition and non-solicitation issues. (Formerly 212k138.31 212k138.37 Prospective buyers of...,...of Relief 212IV(L) Trade or Business 212 1383 k. Non- competition and non-solicitation issues. (Formerly 212k138.31 212k138.37 Sale of radio...,,
2010,,"BLR Group of America, Inc. v. U.S.",https://www.westlaw.com/Document/Icde960a4ad5a11df89d8bf2e8566150b/View/FullText.html?listSource=Search&list=CASE&rank=830&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,United States Court of Federal Claims.,16-Aug-10,94 Fed.Cl. 354,2010 WL 3290457,07-579C,GOVERNMENT CONTRACTS - Performance and Breach. Contractor failed to submit valid Contract Disputes Act claim as to allegedly unfair and inaccurate performance evaluation.,...argued that the Command violated a regulation requiring use of  noncompetitive procedures before exercising an option when the option price was...,,,
2010,,"Verus Pharmaceuticals, Inc. v. Astrazeneca AB",https://www.westlaw.com/Document/Id17c7ecdaaaf11df89d8bf2e8566150b/View/FullText.html?listSource=Search&list=CASE&rank=697&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. New York.",16-Aug-10,Not Reported in F.Supp.2d,2010 WL 3238965,09 CIV. 5660 BSJ,COMMERCIAL LAW - Contracts. Earnout payment termination date in contract governing sale of assets regarding pharmaceuticals was end of phase 2 drop dead date.,"...with Defendants for five years. However, there was no corresponding non- compete agreement by Defendants. APA § 5.12.) 3. Performance Under...",,,
2010,,"Maaco Franchising, Inc. v. Augustin",https://www.westlaw.com/Document/I13becd22aadd11df84cb933efb759da4/View/FullText.html?listSource=Search&list=CASE&rank=166&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Pennsylvania.",16-Aug-10,Not Reported in F.Supp.2d,2010 WL 3239259,CIV.A. 09-4548,"POLLAK, District Judge. AND NOW, this 12th day of August, 2010, for the reasons set forth in the accompanying memorandum, it is hereby ORDERED that the plaintiff's motion in limine and for sanctions (docket no.44) is DENIED. Plaintiff, Maaco Franchising, Inc., requests preclusion of evidence and sanctions (docket no. 44) against defendants Philippe...","...¶¶ 10, 17.C. In addition, the franchise agreement contained a covenant not to compete. Franchise Agreement, at ¶ 17.B(1)-(2), 17.C. Maaco alleges...","...agreement and for preliminary and permanent injunctions to enforce the non- compete clause and to protect Maaco's trade secrets. Maaco has also sued for trademark infringement and unfair competition, breach of the covenant of confidentiality, breach of the covenant of good faith and...",...Maaco franchise for the remainder of the term of the covenant not to compete ( docket nos. 58 & 59). That period has since expired. Maaco...,
2005,,"Palmer & Cay, Inc. v. Marsh & McLennan Companies, Inc.",https://www.westlaw.com/Document/I7e9ca0702e5211e8a054a06708233710/View/FullText.html?listSource=Search&list=CASE&rank=48&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Georgia, Savannah Division.",17-Aug-05,Slip Copy,2005 WL 8156260,403CV094,"Insisting that the 1997 and 2002 restrictive covenant agreements that he signed with his former employer, defendant Marsh & McClennan Companies, Inc. (MMC), are unenforceable, plaintiff James B. Meathe and his current employer, Palmer & Cay, Inc. (P&C), sought from this Court a judgment enjoining MMC from enforcing them. Doc. # 4. MMC...","...acquired J&H. Id. at 1299-1300 That agreement contained non- compete and non-solicitation covenants restricting him, upon his departure from MMC, from working for...",...apply two different levels of scrutiny to covenants like a covenant not to compete. The level will depend on whether the covenant is ancillary...,,
2007,,In re Mooney,https://www.westlaw.com/Document/I6a0af19c524711dcb979ebb8243d536d/View/FullText.html?listSource=Search&list=CASE&rank=305&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, D. New Hampshire.",17-Aug-07,Not Reported in B.R.,2007 WL 2403774,"05-13392-JMD, ADV. 05-1205-JMD","Michael Mooney (the Defendant) filed a voluntary petition under chapter 7 of the Bankruptcy Code on August 30, 2005. Paul LaCarubba (the Plaintiff) timely filed a complaint (1) requesting that the Defendant's obligations to the Plaintiff be excepted from discharge under 11 U.S.C. §§ 523(a)(4) and (a)(6); and...",...confidential and proprietary information and was not subject to a non- competition agreement in connection with the employment of the Defendant by...,...the Defendant had entered into any employment contract or any non- competition agreement with F & M which would have prohibited him from...,"...7 trustee for F & M and the absence of any non- competition agreement between the Defendant and F & M, the Court finds...",
2007,,Gardner Denver Drum LLC v. Goodier,https://www.westlaw.com/Document/I9fbe525d533311dca1e6fa81e64372bf/View/FullText.html?listSource=Search&list=CASE&rank=362&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Kentucky, at Louisiville.",17-Aug-07,Not Reported in F.Supp.2d,2007 WL 2407238,CIV.A. 3:06-CV-4-H,"Plaintiff, Gardner Denver, Inc., have moved for civil contempt against Defendants, Peter Goodier and Tuthill Vacuum & Blower Systems, Inc. Plaintiff contends that Defendants have violated this Court's injunction entered April 14, 2006. A Memorandum Opinion accompanied the injunctive order. To obtain a civil contempt order, the movant is required to...","...Memorandum accompanying the Order held a narrow interpretation of the covenant not to compete, which Plaintiff sought to enforce in its motion for preliminary...",,,
2010,,Mechdyne Corporation v. Garwood,https://www.westlaw.com/Document/Ia64a67c0fe7d11e69a9296e6a6f4a986/View/FullText.html?listSource=Search&list=CASE&rank=125&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Iowa, Central Division.",17-Aug-10,Slip Copy,2010 WL 11493975,4:08-CV-00451-JEG,"This matter is before the Court following a bench trial held on October 26 and 27, 2009. Attorney David Swinton represented Plaintiff Mechdyne Corporation (Mechdyne). Attorneys Stephen Doohen and Jennifer Smith represented Defendant Donald Garwood (Garwood). Post-trial briefing was completed on November 23, 2009. On February 16, 2010, while the...","...July 18, 2000, Garwood signed Mechdyne's Employee/Contractor Non-Disclosure/ Non- Compete Agreement (the NCA). The NCA, which the parties agree is...","...by Iowa law, in pertinent part provides as follows: 2. NONCOMPETITION COVENANT. (a)Agreement Not to Compete. During my employment with...",...learned through later communications that Garwood was subject to Mechdyne's covenant not to compete and proposed to have Garwood avoid working in areas of...,...thus far been mostly unsuccessful. II.CONCLUSIONS OF LAW A. Covenant Not to Compete Section Two of NCA Mechdyne argues Garwood breached Section Two...
2010,,"Veolia Transp., Inc. v. Enjoi Transp., LLC",https://www.westlaw.com/Document/Id1744163aaaf11df89d8bf2e8566150b/View/FullText.html?listSource=Search&list=CASE&rank=278&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Michigan, Southern Division.",17-Aug-10,Not Reported in F.Supp.2d,2010 WL 3245402,09-14162,COMMERCIAL LAW - Contracts. A genuine issue of material fact existed as to whether a subcontractor violated the non-compete clause of a subcontract.,...material fact existed as to whether a subcontractor violated the non- compete clause of a subcontract with a contractor. Therefore summary judgment...,...Id. ¶ 3. K.) The Enjoi Contract also contains a  Non- Competition  clause which provides: In consideration of this Agreement and the...,...under these statutes. Enjoi next argues that the Enjoi Contract's non- compete clause did not preclude Enjoi from providing transportation services for...,"...in response to Enjoi's motion that the no-contact and non- compete provisions in the Enjoi Contract are enforceable, unambiguous, and were..."
2006,,"Ossur Holdings, Inc. v. Bellacure, Inc.",https://www.westlaw.com/Document/Ie865d65f317e11dbb0d3b726c66cf290/View/FullText.html?listSource=Search&list=CASE&rank=62&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Washington, at Seattle.",18-Aug-06,Not Reported in F.Supp.2d,2006 WL 2401269,C05-1552JLR,"This matter comes before the court on three separate motions for summary judgment (Dkt.125, 132, and 135). The court has reviewed the papers filed in connection with these motions and has heard from counsel at oral argument. For the following reasons, the court DENIES the first motion from Defendants Bellacure, Inc. (Bellacure) and Shane Sterling...","...contained a one-year non-solicitation provision, a one-year non- competition provision, and a nondisclosure provision targeted at protecting Össur's confidential...","...Contract Claim Against Sterling Össur alleges that Sterling breached the non- competition, non-disclosure, and non-solicitation provisions of his BPA by...",...Com pl. ¶¶ 76-85. It is undisputed that Sterling's non- competition and non-solicitation periods expired no later than April 16...,"...this argument as a basis for summary judgment. 1. The Non- Competition Provision The construction and legal effect of a covenant not to compete, including its reasonableness, is a question of law. Perry v..."
2009,,"Perry v. H & R Block Eastern Enterprises, Inc.",https://www.westlaw.com/Document/I716acb6d90dd11deabded03f2b83b8a4/View/FullText.html?listSource=Search&list=CASE&rank=361&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Pennsylvania.",18-Aug-09,Not Reported in F.Supp.2d,2009 WL 2581708,CIV.A. 04-6108,"Donna Perry sued H & R Block Eastern Enterprises, Inc., for sex and age discrimination, slander, and tortious interference with contract. H & R Block brought a counterclaim for breach of contract based on Ms. Perry's alleged violation of a non-compete provision in her employment agreement, as well as various related claims. The Court granted...","...of contract based on Ms. Perry's alleged violation of a non- compete provision in her employment agreement, as well as various related...",...H & R Block on its counterclaim for violation of the non- compete clause. The Court then presided over a jury trial on...,...contract. The contract states that an employee who breaches the non- compete clause shall pay to [the] Company an amount equal to...,
2009,,Leath v. Tracer Const. Co.,https://www.westlaw.com/Document/I93b23ad2ae7611e0bff3854fb99771ed/View/FullText.html?listSource=Search&list=CASE&rank=16&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Texas.",18-Aug-09,Not Reported in F.Supp.2d,2009 WL 8188138,1:08-CV-358,"Pending before the court are Plaintiff Matthew Cole Leath's (Leath) Motion for Partial Summary Judgment (# 25) and Defendants Tracer Construction Company (Tracer) and Tyco Thermal Controls, LLC's (Tyco) (collectively, Tracer) Amended Motion for Partial Summary Judgment (# 33). The parties' cross-motions seek a determination as to the...",...motions seek a determination as to the enforceability of a covenant not to compete signed by Leath when he began his employment with Tracer...,"...On the same day, Leath signed an Employee Confidentiality and Non  Competition Agreement (Employment Agreement), which contained, among other things, a non- competition provision prohibiting Leath from working for or starting a competing...","...for partial summary judgment, requesting a declaratory judgment that the covenant not to compete is unenforceable as a matter of law. Leath points out...","...on May 5, 2009, seeking a declaratory judgment that the covenant not to compete is enforceable as written, or alternatively, requesting that the court..."
2009,,"Courtroom Sciences, Inc. v. Andrews",https://www.westlaw.com/Document/I8005cedc91a111dea82ab9f4ee295c21/View/FullText.html?listSource=Search&list=CASE&rank=522&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Texas, Dallas Division.",18-Aug-09,Not Reported in F.Supp.2d,2009 WL 2593412,CIV.A. 3:09-CV-0251-,"Before the Court are: Defendant's Emergency Motion for Suspension of Preliminary Injunction Pending Appeal, or, in the Alternative, to Modify Injunction (Doc. # 57); Plaintiff's Response to Defendant's Emergency Motion for Suspension of Preliminary Injunction Pending Appeal, or, in the Alternative, to Modify Injunction (Doc. # 62); Plaintiff's...","...preliminary injunction (the Injunction) enforcing contractual agreements of non-disclosure, non- competition, non-solicitation, and non-interference. See Courtroom Sciences, Inc. v...",,,
2008,,"Hodak v. Madison Capital Management, LLC",https://www.westlaw.com/Document/I6cd2297d705011dd9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=208&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Kentucky, Central Division, at Lexington.",19-Aug-08,Not Reported in F.Supp.2d,2008 WL 3884314,CIV.A. 5:07-5-JMH,"This matter is before the Court on the parties' cross-motions for summary judgment filed by Plaintiff Hodak [Record No. 87], Defendants Madison Capital Management, LLC, and Madison Investment Partners 24, LLC (collectively, Madison Defendants) [Record No. 90], and Defendants UAR GP Services, LLC, UAR GP, LLC, UAR GP Holdco, LLC,...","...a).] Hodak and UAR GP Services also entered into a Non  Competition Agreement which contains provisions regarding confidentiality, specifically that Hodak would...","...actions (Count V). Additionally, Plaintiff seeks a declaration that the Non  Competition Agreement by and between Hodak and UAR GP Services' was...",...his claim in Count III for injunctive relief concerning the Non  Competition Agreement [Record No. 55]. II. STANDARD OF REVIEW Under Fed.R.Civ.P...,"...allusions, or whatever one chooses to call them, violated Plaintiff's Non  Competition Agreement with UAR GP Services, which prohibited the disclosure of..."
